,time,triggername,triggers,node
1,2019-06-24 22:35:59,主机node_81 ping丢包率当前值为25%，持续2分钟平均大于20%,ping丢包率当前值为25%，持续2分钟平均大于20%,81
2,2019-06-24 22:36:00,主机node_68 **application 停止运行,**application停止运行,68
3,2019-06-24 22:36:00,主机node_8 url:http://node_8:80//访问失败,url80//访问失败,8
4,2019-06-24 22:36:01,主机node_38 网卡eth0 接收流量持续10分钟平均值大于300M,网卡接收流量过高,38
5,2019-06-24 22:36:02,主机node_66 日志中有No route to host信息,日志中有Noroutetohost信息,66
6,2019-06-24 22:36:04,主机node_79 **** 请求延时大于5分钟,****请求延时大于5分钟,79
7,2019-06-24 22:36:04,主机node_76 Nginx 80端口的连接数大于2000,Nginx80端口的连接数大于2000,76
8,2019-06-24 22:36:04,主机node_62 上I/O等待负载大于50%,I/O等待负载大于50%,62
9,2019-06-24 22:36:06,"主机node_7 空闲CPU为4.0%,持续15分钟小于10%",CPU利用率过高,7
10,2019-06-24 22:36:12,主机node_64 JBOSS 8080端口的连接数大于400,JBOSS8080端口的连接数大于400,64
11,2019-06-24 22:36:13,主机node_52 端口6060通信异常,端口6060通信异常,52
12,2019-06-24 22:36:14,主机node_89 url:http://node_89:8080访问失败,url8080访问失败,89
13,2019-06-24 22:36:14,主机node_79 **** 请求延时大于5分钟,****请求延时大于5分钟,79
14,2019-06-24 22:36:14,主机node_58 网卡eth0 接收流量持续10分钟平均值大于180M,网卡接收流量过高,58
15,2019-06-24 22:36:14,主机node_88 网卡eth0 接收流量持续10分钟平均值大于300M,网卡接收流量过高,88
16,2019-06-24 22:36:16,主机node_39 上I/O等待负载持续15分钟超过10%,I/O等待负载持续15分钟超过10%,39
17,2019-06-24 22:36:17,主机node_74 日志产生ERROR信息,日志产生ERROR信息,74
18,2019-06-24 22:36:19,主机node_81 上I/O等待负载持续15分钟超过10%,I/O等待负载持续15分钟超过10%,81
19,2019-06-24 22:36:19,主机node_36 ping延迟时间持续3分钟大于100ms,ping延迟时间持续3分钟大于100ms,36
