,sysEname,time,is_root,trigger,node
0,SYS_3,2019-06-10 18:02:14,0,端口80通信异常,node_86
1,SYS_6,2019-06-10 18:02:14,0,ping丢包率当前值为25%，持续2分钟平均大于20%,node_46
2,SYS_5,2019-06-10 18:02:17,0,端口80通信异常,node_65
3,SYS_5,2019-06-10 18:02:17,0,ping丢包率当前值为25%，持续2分钟平均大于20%,node_38
4,SYS_5,2019-06-10 18:02:18,0,端口6060通信异常,node_85
5,SYS_9,2019-06-10 18:02:18,0,I/O等待负载持续15分钟超过10%,node_68
6,SYS_5,2019-06-10 18:02:18,0,网卡接收流量过高,node_60
7,SYS_5,2019-06-10 18:02:19,0,FullGC平均耗时异常,node_74
8,SYS_4,2019-06-10 18:02:20,0,****请求延时大于5分钟,node_34
9,SYS_1,2019-06-10 18:02:21,0,ping丢包率当前值为25%，持续2分钟平均大于20%,node_50
10,SYS_6,2019-06-10 18:02:21,0,分区剩余空间小于阀值10%,node_1
11,SYS_10,2019-06-10 18:02:21,0,端口6060通信异常,node_29
12,SYS_2,2019-06-10 18:02:22,0,端口80通信异常,node_18
13,SYS_6,2019-06-10 18:02:22,0,FullGC次数异常,node_98
14,SYS_10,2019-06-10 18:02:24,0,ping丢包率当前值为25%，持续2分钟平均大于20%,node_11
15,SYS_2,2019-06-10 18:02:25,0,FullGC平均耗时异常,node_7
16,SYS_9,2019-06-10 18:02:28,0,I/O等待负载持续15分钟超过10%,node_68
17,SYS_8,2019-06-10 18:02:29,0,网卡发送流量过高,node_41
18,SYS_7,2019-06-10 18:02:29,0,ping延迟时间持续3分钟大于100ms,node_53
19,SYS_4,2019-06-10 18:02:30,0,****请求延时大于5分钟,node_34
20,SYS_6,2019-06-10 18:02:32,0,FullGC次数异常,node_98
21,SYS_2,2019-06-10 18:02:32,0,端口80通信异常,node_18
22,SYS_3,2019-06-10 18:02:34,0,网卡发送流量过高,node_97
23,SYS_5,2019-06-10 18:02:38,0,网卡接收流量过高,node_60
24,SYS_6,2019-06-10 18:02:39,0,端口80通信异常,node_59
25,SYS_6,2019-06-10 18:02:41,0,ping丢包率当前值为25%，持续2分钟平均大于20%,node_32
26,SYS_6,2019-06-10 18:02:41,0,分区剩余空间小于阀值10%,node_1
27,SYS_3,2019-06-10 18:02:47,0,I/O等待负载大于50%,node_39
28,SYS_4,2019-06-10 18:02:48,0,日志产生ERROR信息,node_81
29,SYS_8,2019-06-10 18:02:49,0,网卡发送流量过高,node_41
30,SYS_10,2019-06-10 18:02:51,0,端口6060通信异常,node_29
31,SYS_6,2019-06-10 18:02:51,0,分区剩余空间小于阀值10%,node_1
32,SYS_1,2019-06-10 18:02:53,0,网卡接收流量过高,node_15
33,SYS_9,2019-06-10 18:02:58,0,I/O等待负载持续15分钟超过10%,node_68
34,SYS_8,2019-06-10 18:03:02,0,硬盘Slot00状态为Failed,node_10
35,SYS_6,2019-06-10 18:03:02,0,FullGC次数异常,node_98
36,SYS_1,2019-06-10 18:03:03,0,网卡接收流量过高,node_15
37,SYS_3,2019-06-10 18:03:07,0,I/O等待负载大于50%,node_39
38,SYS_6,2019-06-10 18:03:11,0,分区剩余空间小于阀值10%,node_1
39,SYS_10,2019-06-10 18:03:11,0,端口6060通信异常,node_29
40,SYS_6,2019-06-10 18:03:12,0,FullGC次数异常,node_98
41,SYS_6,2019-06-10 18:03:14,0,端口6060通信异常,node_67
42,SYS_9,2019-06-10 18:03:18,0,I/O等待负载持续15分钟超过10%,node_68
43,SYS_4,2019-06-10 18:03:18,0,日志产生ERROR信息,node_81
